"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-01","70","84",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-02","69","83","62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-03","71","80",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-04","72","78","68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-05","74",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-06","73",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-07","74","82",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-08","73",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-09","74",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-10","75","84","69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-11","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-12","77",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-13","77",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-14","73","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-15","69","78","67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-16","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-17","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-18","69",,"59"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-19","70",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-20","73",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-21","77",,"67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-22","75","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-23","72","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-24","70","84","59"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-25","72",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-26","74","85",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-27","72",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-28","69","83","64"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-29","69",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-06-30","71",,"60"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-01","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-02","71","86",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-03","69",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-04","68",,"64"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-05","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-06","73",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-07","73","87",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-08","74",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-09","71","90","63"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-10","69","82","63"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-11","70",,"59"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-12","75",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-13","75",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-14","71","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-15","66","75",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-16","66",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-17","67",,"58"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-18","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-19","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-20","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-21","72",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-22","73",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-23","73","86","63"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-24","72",,"60"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-25","75",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-26","74","88",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-27","75",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-28","76",,"64"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-29","73","91",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-30","67","76",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-07-31","67",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-01","68",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-02","68",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-03","67","76",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-04","67",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-05","69",,"60"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-06","69",,"59"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-07","69",,"59"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-08","69","80",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-09","71",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-10","72",,"63"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-11","75",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-12","73","89","64"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-13","76",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-14","76","92","67"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-15","76",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-16","72","90","68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-08-17","73",,
